node_id,phase,year,round,start_day_old,coverage,start_day
1,pickup,2016,1,2394,0.64,20644
1,pickup,2016,2,2424,0.73,20674
1,pickup,2016,3,2454,0.77,20704
1,pickup,2016,4,2484,0.80,20734
1,pickup,2017,1,2765,0.75,21015
1,pickup,2017,2,2795,0.77,21045
1,pickup,2017,3,2825,0.80,21075
1,pickup,2017,4,2855,0.82,21105
1,pickup,2018,1,3122,0.77,21372
1,pickup,2018,2,3152,0.77,21402
1,pickup,2018,3,3182,0.78,21432
1,pickup,2018,4,3212,0.81,21462
1,pickup,2019,1,3489,0.77,21739
1,pickup,2019,2,3519,0.77,21769
1,pickup,2019,3,3549,0.78,21799
1,pickup,2019,4,3579,0.81,21829
